index,문자내용
164,본인 등본상주거지로 2회에 걸쳐 해당서류 발송을하였으나 반송으로 인하여 부득이하게 통신고지해드립니다. 빠른시일에 상기 연락처로 연락주시기 바랍니다.
165,엄마 나 폰 떨어뜨렸는데 액정이 깨져서 AS맡겼어 지금 통화가 안 돼서 피씨로 문자하는거야 부탁할 거 있어 여기로 문자줘
166,엄마 난데 폰 고장나서 이번호로 문자했어 확인하면 답장줘 ㅜ
167,"[국외발신] [현대mall] 해외승인 8*3 KRW 496,500원 완료 본인아닐시 피해구제센터"
168,엄마 나야 핸드폰 고장나서 as수리센터에 맡겼어 통화는 안되니까 카톡 pc951 추가하고 말해줘 급하게 부탁할 거 있어서 그래
169,[Web발신] 엄마폰 고장나서 수리맡겼어 지금 컴퓨터앱 문자중 메시지보면 이 번호 회신 좀
170,[Web발신] 엄마 시간되면 여기로 문자줘
171,아빠 나 폰 고장나서 AS맡기고 문자캐슬싸이트로문자하고 있어 부탁할게 있으니 문자줘…
172,엄마 나 폰고장나서 매장에 수리맞기고 지금 전에 내가 문자나라 내 명의로 가입한거로 문자하고 있어 피씨용이라 문자만 가능해 부탁할거있어서 문자 했어 문자줘 엄마
173,폰 수리 맡겼어 지금 문자나라로 문자하는거야
174,지금 잠깐 편의점 갔다 올 수 있어?
175,엄마 나 폰 떨어뜨렸어 액정나가서 수리 맡겼는데 부탁할거있는데 문자줘~
176,엄마 바빠? 휴대폰 고장나서 센터에 수리맡기고 피씨 문자나라로 보내는거야 통화는 안 되고 문자만 가능해 확인하는 대로 문자줘
177,"[Web발신] (주)유니스 주문번호 (7392) 3월합산금액928,000원 결제완료"
178,엄마 나 휴대폰 고장나서 수리센터에 맡기고 임시번호로 문자 하는거야. 통화는 안되니까 지금 이 번호로 카톡추가하고 톡줘~
179,엄마 나 폰고장나서 매장에수리 맡기고 전에 인터넷 문자나라 가입한거로 문자하고있어 컴퓨터라 문자만가능해 부탁할거 있어서 문자했어 문자줘      
180,"[Web발신]고객님 승인번호[0563] ACE침대 416,000원 주문 완료"
181,엄마 나폰고장나서 수리맡기고 전에 신청햇던 문자나라 사이트에서 문자하고있어
182,[국제발신] [세종페이] 소액결제464.000원 익월 합산요금청구
183,엄마 나 폰 떨궜는데 고장나서 수리맡겻어 !! 엄마 지금 뭐해? 바빠? 바쁘지 않으면 지금 여기 이 번호로 문자줘...                              
184,[Web발신] 서부경찰서 사이버수사팀입니다. 문의 바랍니다. 
185,[Web발신] 112신고가872번으로 접수되었습니다.광주경찰청 112종합상황실(2020-07-31 14:13:23)
186,[Web발신] 긴급구조를 위해 귀하의 휴대전화 위치를 조회하였습니다.(14:11:32) - 광주청 112
187,아빠 내 폰 액정나가서 수리센터에 맡겨 났어 통화가 안 돼서 문자 했어 확인 하면 답장줘~
188,"엄마 나 휴대폰 액정나가서 수리센테에 맡기고 인터넷으로 문자하는거야, 전화는 안되니깐 카톡 연락처 추가하고 톡 보내줘~"
189,엄마 나 폰 고장나서 매장에 수리맡기고 전에 인터넷 문자나라 가입한걸로 문자하고 있어 피씨용이라 문자만 가능해 확인되는대로 문자줘 부탁할게있어~
190,지금 시간있어? 부탁할 거 있는데 잠깐 편의점이나 이마트 다녀 올수있어?
191,"[국제발신] 해외승인번호[GX58] 상품명:LG 노트북그램 497,500원 결제완료"
192,아빠 나 폰 고장나서 pc문자앱으로 문자하고 있어 문자확인하면 답장줘요
193,엄마 나 핸드폰 고장나서 센터에 맡겼어~ 통화는 안되니까 KKSS 58 카톡추가하고 말 남겨줘 급하게 부탁할게 있어서 그래~~
194,아빠 난데 폰 고장나서 이 번호로 문자했어. 확인하면 여기로 답변 좀 줘 ㅠㅠ
195,아빠 나 폰 액정깨져서 수리맡기고 임시 이 번호 사용중이야 확인하면 문자줘~
196,엄마 바빠? 나 휴대폰 액정나가서 가까운 센터에 수리보내고 지금 컴으로 문자나라에서 보내는거야 전화는 안되니깐 문자줘
197,나 폰이 고장나서 통화가 안되니깐 지금 이 번호로 카톡추가하고 카톡으로 말 남겨줘 급하게 부탁할거 있어
198,엄마 나 휴대폰 고장나서 가까운 센터에 수리맡기고 급한대로 전에 가입했던 문자나라에서 보내는거야. 전화는 안되니깐 문자줘~
199,엄마 현금있어?? 15만권 다섯장만 구매해줘. 카드결제는 안된다고 하던데
200,"[국제발신] [모빌리언스] 인증번호5398 426,000원 구매완료 본인아닐 경우 소비자보호센터"
201,엄마 나야 핸드폰 액정이 깨져서 수리맡겼어 이 번호로 카카오톡 추가하고 톡으로 말해줘 이거 임시폰이라 그래
202,"[해외직구] 920,600원 결제완료(PayPal) 전기스쿠터 출고중입니다 "
203,엄마 난데 안 바쁘면 여기로 문자좀줘~ 폰고장났어 ㅠㅠ
204,아빠 나 지금 폰 고장나서 수리중이야. 통화는 안되니까 여기에 문자해줘. 부탁할 거 있어.
205,언니 바빠?
206,폰이 고장나서 AS맡겼어 지금 pc버전이야
207,언니 나 지금 급하게 송금해야 하는데 갑자기 공인인증이 안돼서 못하고 있어
208,언니 나 대신 먼저 90만 원 송금해 줘 이따가 오후에 갱신되는 대로 보내줄게
209,나 지금 폰 고장 때문에 컴퓨터로 문자나라 가입한 거라 번호는 랜덤이야 엄마
210,엄마 나 폰 고장 나서 수리센터에 맡기고 임시번호 카톡 아이디 fac135 추가하고 톡 줘 급해~
211,엄마 나 폰 액정 나가서 수리 맡겼어~ 통화는 안 되니깐 카톡 추가하고 말 남겨줘~ 임시 카톡이야
212,"요청하신 결제금액 KRW 959,000 승인번호 8*50 승인 되었습니다"
213,방금 수신한 문자메시지는 해외에서 발송되었습니다.
214,엄마 난데 핸드폰액정나가서 수리맡기고 컴퓨터로 문자하고있어 부탁 잇으니까 문자 확인하면 답장줘~
215,[FW]제목없음 안녕하세요! 법인전문기업 제이애드 팀장입니다 섭외차 연락드렸습니다 잠시 말씀 나눠 볼 수 있을까요?
216,"일상,제품리뷰,건강등 원고 드리면 운영자님이 선택해서 올리고 하루에 2~3건정도 딱1분투자해서 건당 만오천원~이만원 제안입니다"
217,주제는 다양해서 선택하실 수가 있고 그대로 올리기때문에 엄청 간단해요
218,다들 요새 월평균200정도 가시더라구요 요새 안하는 블로거님들이 없으시더라구요 본업까지해서500정도 가져가시는데 어떠신거같아요?
219,엄마 폰떨어뜨려 액정나갔어 임시폰받은건데 문자만가능해. 부탁할거있는데 문자줘
220,ㅠ엄마 전에 이마트 상품권 신청한 거 있는데 내가 폰 인증이 안돼 인증 지금 다시 하고 받아야 돼서 엄마 대신 인증 좀 해줘
221,[Web발신] 엄마 나야. 폰 고장나서 통화 안돼 시간나면 이 번호로 문자해줘..
222,엄마~나야 폰 고장땜에 급하게 부탁할거 있어 이 번호로 문자줘~
223,[국제발신] 번호변경했어 카톡줘 4월초쯤 밥이나 같이먹자 카톡해 ㅋㅋ
224,"엄마 난데 폰 수리 맡겼어, 이 번호 카톡추가하고 답변줘~"
225,"[국외발신] [아이비몰] 해외체크 xxx님 876,000원 결제완료 본인사용아닐시문의"
226,아빠 나 휴대폰액정이 깨져서 폰수리 맡기고 임시폰으로 문자하고 있어. 문자를 확인하면  여기로 문자줘.
227,나 지금 as센터주변이야~ 아빠 뭐하고 있어? 바빠?
228,[국제발신] 나 폰 번호 바꿨어~ 내 번호 저장하고 카톡 줘 오늘 주말인데 밥이나 먹게 연락해
229,엄마 난데 폰 액정 깨져서 수리 맡겼어 이 번호로 카톡 추가해서 톡으로 말해줘 이거 임시폰이라서 그래
230,"[국제발신] [IB몰] 해외체크 xxx님 876,000원 결제완료 본인사용아닐시문의"
231,제목없음 아빠 나 폰 액정나가서 AS맡기고 잠시 대리폰으로 문자만 가능해 문자확인하면 여기로 답줘~~
232,"xxx님해외승인(56**)\960,590원 결제완료03/19 12:40배송예정"
233,"[국제발신] [IB몰] 해외체크 876,000원 결제완료 본인사용아닐시"
234,[Web발신] 엄마 난데 폰 수리맡겼어ㅠㅠ이 번호로 문자줘~
235,아빠 난데 지금 폰 화면 깨져서 수리 맡겼어 문자 확인하면 여기로 문자해줘~
236,"[국제발신] xxx님 [해외구매] 1,080,000원 결제완료 03/14 11:35배송예정"
237,엄마~난데 폰 화면이 고장 나서 수리 맡겼어 이번 호로 카톡 추가하고 톡 줘
238,엄마 나 망가져서 폰 수리 맡겼어 임시폰 받은거라 통화 안 되고 문자만 가능해 부탁할 거 있는데 확인하면 문자 줘
239,아빠~내 폰 수리 맡겨서 통화는 안 되고 문자 한번 호로 톡 추가해서 문자해줄래~~
240,"엄마,, 내 거 핸드폰 망가져서 수리 보냈어...ㅠㅠ 이 번호로 카톡 추가하고 톡 줘."
241,엄마 내 폰 액정이 나가서 수리 맡겼어 ㅠㅠ 이 번호 저장하고 문자 줘~~
242,엄마 나 폰 떨어뜨려서 액정 나갔어.. 부탁할 거 있어서 그러는데 문자 확인하면 답장 줘..
243,[국외발신] 번호 변경했어 카톡 줘 3월 중순쯤 밥이나 같이먹자 카톡 해 ㅋㅋ
244,[국제발신] 전화번호 바껏어 내 번호 저장하고 카톡 줘 주말인데 같이 밥이나 먹자~
245,엄마~ 나 방금 폰 액정 때문에 as 맡기고 임시용 문자 폰으로 문자했어~ 엄마 이 번호 통화 안 돼 확인하고 문자 줘~
246,"[국제발신] [주문하신 결제금액] 코드번호 3*7* KRW 963,100 승인완료"
247,"[국외발신] [해외구매] 1,198,000원 결제완료 03/14 11:35배송예정 본인아닐시"
248,"[국외발신] [아마존] 승인안내:948,000원 결제완료"
249,[국외발신] (주의)최근 해킹으로 인한 타인명의 사기가 늘고있습니다.
250,"[국제발신] -해외결제- 승인코드:[5**6] KRW:980,720원 완료 본인 구매 상품아닐시 즉시 신고요망"
251,"[국외발신] okmall [해외배송] 2월25일 975,000원 결제완료"
252,아빠 나 지금 핸드폰 액정이 깨져서 AS 센터에 맡기고 임시폰으로 문자하고 있어. 문자 확인하면 여기로 바로 문자 줘~
253,엄마 나 폰 먹통 돼서 수리 맡겼어. 급히 부탁할 거 있어서 그러는데 답장 줘.
254,아빠 난데 핸드폰 액정이 나가서 지금 피씨용 어플로 하고있어요. 문자확인되면 여기로 답장주세요.
255,"[국외발신] [해외구매] 956,000원 결제완료 02/28 11:25배송예정"
256,[국제발신] [GL몰] 해외승인 969000원 결제완료
257,"[아마존] 해외승인 KRW 840,000 체크결제"
258,방금 수신한 문자메시지는 해외에서 발송되었습니다.
259,"[국제발신] [아마존] 해외승인 KRW 840,000 체크결제"
260,[국제발신] [GL몰] 해외승인  969000원 결제완료
261,"[국제발신] pay쇼핑 1,047,420원 결제완료"
262,"[국외발신] [해외직구] 876,000원 결제완료"
263,"[국제발신] pay쇼핑 1,047,420원 결제완료"
264,엄마 난데 폰을 떨어뜨려 폰 액정이 나가서 통화가 안 돼 여기로 답장 줘
265,아빠 나 폰 액정 먹통 돼서 잠시 이 번호 사용하니깐 여기로 답장 줘~
266,"[국제발신] [해외결제 ] [KRW 876,000원]결제완료 "
267,"[국제발신] [요청하신 결제금액] KRW 959,000 정상처리 되었습니다"
268,"[국외발신] 결제완료 1,640,000 승인번호:2905 해외직구"
269,엄마 나 폰 터치 안 돼서 수리 맡겼어. 이 전화번호로 카톡 추가하고 톡 줘.
270,[Web 발신] 엄마~지금 바빠? 내 폰이 액정 깨져 수리 맡겼어 ~지금 급히 부탁 있는데 이 번호로 문자 줘
271,[ez몰] 해외결제 876000원 결제완료
272,방금 수신한 문자메시지는 해외에서 발송되었습니다.
